Kitap Adı,Kitap Açıklaması,Kategori
Geçmişin Heybesinden Dini Hikayeler 1. Cilt,"Kapılar, sadece dünya ile ahiret arasındaki sınır değil, aynı zamanda hakikatin ve marifetin kapılarıdır. Sağlam ve sahih kaynaklardan derlenen bu eser, okuyucuyu maneviyatın derinliklerine yolculuk yapmaya davet ediyor.Asırlar boyunca dilden dile, sadırdan satıra aktarılan bu yaşanmış hikâyeler, sadece geçmişin izlerini değil, aynı zamanda kalplerimize fısıldanan hakikatleri de yansıtıyor. Büyük ariflerin, velilerin, âlimlerin ve dervişlerin hikâyelerini bir araya getiren bu eser; sabrın, kanaatin, tevekkülün, tefekkürün ve Allah’a olan aşkın sonsuz yolculuğuna bir kapı aralıyor.Her hikâye, r",Hikâye
Aynadan İçeri / Natüralist 2,"OYUNCAKÇI SENİ İZLİYOR. Çığır açıcı bilimsel yöntemler sayesinde tarihin en azılı seri katillerinden birini yakalayan Profesör Theo Cray, eski öğrencisinin ölümü ve avını yakalamasının ardından akademik dünyadan kopar. Hayatını yeniden inşa etmeye çalışırken kendisini başka bir esrarengiz vakanın içinde bulur. Kayıp bir çocuğun çaresiz babası yardım için Theo Cray’e başvurur. Onun elindeyse birkaç çocuğun çizimi ile Oyuncakçı adlı biriyle ilgili şehir efsanesinden başka bir ipucu yoktur. Theo Cray, Oyuncakçı’nın ardındaki gizemi çözmek için bilimsel önyargılarını bir kenara bırakıp düşler ile",Polisiye
Bir Bedenin Gerçeği,"Guardian Yılın En İyi KitabıLambda Edebiyat Ödülü KazananıChautauqua Ödülü Kazananı “Bir Bedenin Gerçeği, tek kelimeyle çarpıcı.”–Paula Hawkins, Trendeki Kız ve Karanlık Sular’ın yazarı “Muhteşem. Hem sürükleyici hem de sinir bozucu.”–Celeste Ng, New York Times çoksatanı Küçük Yangınlar’ın yazarı Korkunç bir suç. Gizlenen aile sırları. Bedenlere saklanan gerçekler. Avukatlar. Katiller. Hapishaneler. Alkolik ebeveynler. Yüzleşmemiz gereken travmalar. Affetmenin gücü… ve sarsıcı bir gerçek hikâye.Yıl: 1992. Bir çocuk kayboldu: Jeremy Guillory. Annesi mahalledeki komşulardan birinin kapısını tıkl",Polisiye
Oasis,"Yakın bir gelecekte, bir virüs insan ırkını yok olmanın eşiğine sürükleyecek. Kontrol girişimlerimizden daha hızlı yayılan hastalığın getirdiği çaresizlikle çöküşe sürüklenen bir toplumda, ayakta kalan son şehir yaşamayı başaranların umut ışığı olacak. Dış dünyadan etrafını çeviren duvarlarla ayrılan insanlığın son kalesi bu şehrin adı Oasis. İktidarın ne pahasına olursa olsun uygulamaya başladığı güvenlik politikası şehir sakinlerinin yaşamını yeni ve tekinsiz bir yolculuğa sürükler. Böylesi bir dünyaya gözlerini Seylan Şehri'nde bir Safkan olarak açan Quincy Emerson, yedi yaşında Oasis'in tü",Bilimkurgu-Fantazya
Dedikodu,"İnsanlar neden dedikodulara inanırlar, hatta en inanılmaz şeylere bile inanır hale gelirler? İlk bakışta, bu insanların saf, akılsız, cahil oldukları söylenebilir. Onlara sormaya kalkarsak, ipe sapa gelmez bir sürü açıklamayla, tüm inançlarda olduğu gibi, inandıklarını savunmaya çalışacaklardır kuşkusuz. Onların karşısında, ‘bu kadar da olmaz’ diyenlerin mesafeli bir horgörüyle, acımayla davranmaları, hatta bu saflıktan yararlanmaya kalkışmaları da doğaldır.",Deneme
Ceraim : 46,Bir mesire alanında bulunan çürümeye yüz tutmuş başsız bir kadın cesedi. Bir biri ardına işlenen cinayetler ve bu cinayetlerin peşinden soluk soluğa koşan deneyimli Cinayet Büro Polisi Barman Kara ve ekip arkadaşı Hüseyin Taşkın. Onlara bu macerada Adli Tıp Uzmanı Doktor Kemal de eşlik ediyor. Adlî bilimlerle Emniyetin işleyişini başarılı bir şekilde birleştiren roman polisiyeseverlere tatmin edici bir yolculuk vadediyor. Cesedin bulunduğu yerin beş altı metre ilerisindeki kuşburnu çalısının dibinde belli belirsiz bir parıltı gördüm. Bir yansıma mıydı? Ne olursa olsun dikkatimi çekmeyi başarmı,Polisiye
3:01,"SENİ İSTİYORLAR VE SENİ ÖLÜ İSTİYORLAR...GERÇEKLE YÜZLEŞME VAKTİ: 3:01Cumartesi, öğleden sonra… Telefon çaldığında, çocuklarla bahçedesiniz. Arayan okuldaki en iyi arkadaşınız.Birkaç yıldır görmediğiniz biri. Bu, eski zamanları yâd edeceğiniz dostça bir arama olmalı.Ama değil. Aramasının sebebi farklı. İşkence altındaymış gibi, kesik kesik, hızlı hızlı soluyor.Birileri ona korkunç bir acı çektiriyor.Çığlık atıyor ve sonra hayatınızı tamamen değiştirecek altı kelime mırıldanıyor:Adresinizin ilk iki satırını... “Harika konular, mükemmel karakterler ve nefes kesen bir aksiyon.” -Lee Child “Sizi,",Polisiye
Mozart Bir Yaşam Öyküsü,"“Duygularımı şiirle aktaramam, şair değilim; kendimi gölgeler ve ışıkla ifade edemem, ressam değilim; düşüncelerimi hareketlerle de açıklayamam, dansçı değilim. Ama bunların hepsini seslerle yapabilirim. Ben bir müzikçiyim. Yarın Cannabich’lerin evinde, sizin doğum ve isim gününüzü kutlamak için piyano çalacağım. Sevgili Babacığım, size, müzikte yeni hiçbir şeyin bestelenemeyeceği yılları görecek kadar uzun bir yaşam dilerim...”Tam adı, Johannes Chrysostomus Wolfgangus Theophilus’tu. Sonraki yıllarda “Theophilus” adı, önce Almanca karşılığı “Gottlieb”e (Tanrı’nın sevdiği), ardından da sözcüğün",Biyografi-Otobiyografi
Şahmeroid,"İnsan mıyım, yoksa makine mi?Ademden önce doğan, insandan farklı ama insan gibi hisseden bir kadın: Şahmeroid. Duyguları taklit eden, sarılmayı, dinlemeyi bilen, suçluluk, sevgi ve öfkeyi öğrenen bir kadın. Yalnızca bir android değil o. İnsanlığın sınırlarını zorlayan bir yaratıcı. Türk kadınının hak ettiği gücüyle, teknoloji ile doğayı harmanlıyor.Şahmeroid farklı ve etkileyici bir hikaye. Bugüne kadar hep aksiyon hikayelerinin içinde, insanlarla veya diğer robotlarla savaşırken gördüğümüz bir android karakterini insanların arasında, bir edebiyat toplantısında yazar olarak okumak hem değişik",Bilimkurgu-Fantazya
Tükendi Işıklar Yumuldukça Gözleri,"Yaşamın bizler için kurguladığı dünyayı, dış evrenin iç deneyimlerimizden çok daha farklı olduğunu, kendimizi bilme gayreti içinde öğreniriz. Bu yüzdendir ki yaşamın paylaşılır olduğunu unutmadan yaşamak,yaşatmak ne yüce değerdir der, her daim yüreğim.Şu soruyu her zaman sorarım kendime, onların gözüyle dünyaya bakmak, olan biteni anlamak nasıl diye! Hayal kurdum onların adına, onların hayal kurmadan, kurgulanan yaşamlarını izledim. Sevgisiz, binbir tehlikeyle dolu hayatlarını gözlemledim, sevilmeyi bir kez bile tatmadan, göçüp gitmeleri hesapsızca. Onların adına kaygı duymamak, umursamadıklar",Şiir
Theodor Herzl’in Günlükleri (3. Cilt),"21 Mayıs 1901, “Principessa Maria” GemisindeBu günlükte bazen ilk izlenimlerimi tahrif etmek zorunda kaldım, zira bunları şansımın yaver gitmeyeceği ya da bir espiyonaj hilesiyle bu defterin benden bir suç unsuru olarak alınabileceği bir yerde kaydettim. Fakat hâlihazırda Karadeniz’de bir Romanya gemisi üzerinde kendimi oldukça güvende ve özgür hissediyorum, tıpkı Yafa’dan ayrılırken “Dundee” adlı gemide hissettiğim gibi. Bu nedenle sonraki nesillerin menfaati için burada Sultan Abdülhamid Han hakkında söyleyeceğim müspet şeyler hakikattir.Sultan hakkındaki izlenimim kendisinin zayıf, ürkek fa",Anı
Android Adası,"21. yüzyılın ortalarında Cognity şirketi, Büyük Okyanus’taki uzak bir adada, beyin bölgelerinin işlevlerini temsil eden androidler geliştirmektedir. Cognity’de mühendis olarak çalışan Barış, dev dalgaların alt üst ettiği adaya ulaştığında androidlerin tuhaf davrandığını fark eder. İzleyen günlerde kimin dost kimin düşman olduğunu bilemediği ölümcül bir oyunun baş aktörü hâline gelecektir.“Başlangıçta öngörüldüğü gibi duygulu makineler olduk ve insanlara benzer biçimde acı çekiyoruz. Aynen sizler gibi sabahın sessizliğinden, akşamın hüznünden ve gecenin gizeminden etkileniyor; adada gerçekleşen",Bilimkurgu-Fantazya
Bir Masa Yetiyor Bana,"Yıllar önce Le Figaro gazetesinde yayımlanmış bir yazının tercümesini okumuştum. Bu eğlenceli yazıdan Victor Hugo ve Henri Troyat’ın ayakta, Marcel Proust ve Eugène Ionesco’nun ise yatarak yazdıklarını öğrenmiştim. Ernest Hemingway bir defter, bir kurşun kalem ve bir kalemtıraştan ibaret yazı malzemesiyle, çoğu zaman belden yukarısı çıplak olarak yazarmış. Kahvesiz, sigarasız yahut müziksiz yazamayanlar mı dersiniz, yeşil mürekkep düşkünleri mi dersiniz? Çalışma odasında tam bir sessizlik isteyen yazarlar da varmış, yazmak için bulvar kahvelerini tercih edenler de… Proust, tam sessizlik için d",Biyografi-Otobiyografi
Kahve Soğumadan Önce,"Zamanda yolculuk edebilseydiniz neyi değiştirirdiniz?Kimi son bir kez görmek isterdiniz? Tokyo’nun ara sokaklarından birinde, ziyaretçilerine özenle demlenen kahvelerini sunan yüz yıllık bir kafe bulunur. Yılın en sıcak gününde bile serin kalmayı başaran, yalnızca dikkatli gözlerin seçebileceği, bodrum katındaki küçük bir kafe... Öyle küçük ki üç masa ve altı sandalye ile mekân baştan başa doluyor. Duvarda ise her biri ayrı bir zamanı gösteren üç saat asılı. Etrafınıza bakındığınızdaen hafif tabirle “sıradan” olarak niteleyeceğiniz bu yerin kolaylıkla tahmin edilemeyecek bir hizmeti daha var:",Bilimkurgu-Fantazya
Karanfilleri Taze Kaldı,"Oysa bu halkın da dili ve sözü vardı.Ne çare ki, sözü Tümülüs’ünKarnında saklıydı. Dedim yaSadece konuşacağı anın gelmesini beklemektedir.O an belirdiğindeNe olacağını kim bilebilir?Tahminden öteye bir şey söylenemez.",Hikâye
Genç Elitler (Ciltli),"ONLAR HAYATTA KALANLAR, LİDERLER, SAVAŞÇILAR.ONLAR GENÇ ELİTLER. Adelina Amouteru, ölümcül bir hastalıktan kurtulmuştur. On yıl önce ülkesini kasıp kavuran kanlı humma vücudunda tuhaf izler bırakmıştır. Fakat hastalığı atlatanların bazılarında, başka şeyler de kaldığı rivayet edilmektedir… Gizemli ve sıradışı yeteneklere kavuştuklarına inanılan bu insanların kimlikleri gizlidir ancak onlara Genç Elitler denmeye başlamıştır.Teren Santoro, Kral için çalışmaktadır. Engizisyon Mihveri’nin lideri olarak görevi, tehlikeli olduğuna inandığı Genç Elitler’i bulmak ve onlar ülkeyi yok etmeden onları yok",Bilimkurgu-Fantazya
"""Felsefe Sıfır Din Bir'di "" Sezai Karakoç","Mütefekkir Şair Metin Önal Mengüşoğlu, bu eserinde aynı edebî ve fikrî niteliklere sahip Üstadı ve ‘ağabeyi’ olarak görüp ince bir titizlikle saygı duyduğu Sezai Karakoç üzerine, Üstadın düşünce ve edebiyat atlasına içeriden-yakın bakış açıları ve tanıklıklar içeren biyografi denemesiyle çıkıyor okurun karşısına. Mengüşoğlu’nun hatıralarla yüklü kaleminden vücut bulan bu eserde, Karakoç’un tefekkür eserlerinin aydınlatılıp tahlil edilmesinin yanı sıra Üstadın bir medeniyeti omuzlayan şiirleri de özgün ve özge tespitler ışığında ışığa kavuşup açığa çıkarılıyor.‘Mahalli frekansları’ da uyumlu sö",Biyografi-Otobiyografi
Kayseri Lisesinden Nura Koşanlar,"Dünyanın dört bir yanından gelmiş ve çoğu niçin geldiğini de bilmeyen askerler… Ellerinden gelse Türk milletini tarih sayfasından hemen silip atacaklar. Kimi Hindu, kimi yamyam, kimi bilmem ne belâ idi. Bir tek ortak yönleri vardı, vahşilikleri, saldırganlıkları. Onlar, bunca üstün güce rağmen, imanlı bir direnişle karşı karşıya oldukları için emellerine ulaşamıyorlardı. Oysa benim atalarım hiçbir millete böyle davranmamıştı. Zâlimin ve güçlünün karşısında demir bir yumruk olmasına rağmen, mazlumun ve zayıfın yanında müşfik bir hâmi ve hep mülayim olmuşlardı.",Roman
Aristo ve Dante Evrenin Sırlarını Keşfediyor,"Gençlik insanın kendini keşfetmeye başladığı, büyülü bir çağdır. Abisi hapiste olan, içinde tanımlayamadığı bir öfke barındıran Aristo, bir gün havuzda Dante adında bir yaşıtıyla tanışır. Her ikisini de değiştiren, dönüştüren bir sürecin ilk adımıdır bu tanışma. Sonrasında hayat, kimlik, büyümek, “ışık kirliliği olmadan” yıldızları izler gibi bir arkadaşlığı tüm saﬂ ığıyla sürdürmek onları birbirine yakınlaştıran esas bağ olur. Aristo ve Dante Evrenin Sırlarını Keşfediyor, korkmadan, çekinmeden, hayatını kendisi olarak gizlenmeden yaşamak isteyenler için yazılmış bir kitap. Daha önce başka yap",Bilimkurgu-Fantazya
Elimi Bırakma,"Kitaplar konuşuyor raflarda.Bir kadının üstüne tüm geçmişi çullanıyor.Aslında var olmayan, varlığa karışıyor.Hep orada duran, yokluğun koynunda.Semih Sözen, iyiyle kötüyü buluşturuyor sayfalarda.Kavgayla, aşkla, barışla bir araya getiriyor tüm zıtları.Farklı olanlar, aynı dünyada kucaklaşıyor.Elimi Bırakma, bir dizi hikâye.Tahmin edilemeyen, sıranın dışında kalanama mutlaka kalbe dokunan cümleleri sıralıyor.",Hikâye
Ezber Bozan Kadınlar,"Onlar, yaşadığımız coğrafyanın kadınları.Yönetici, pilot, korsan, stratejist, sanatçı, araştırmacı, matematikçi, gazeteci, yazar, astronom, doktor, çevirmen, şair, asker, girişimci, komutan…Karşılaştıkları zorluklar bize tanıdık!Ama onlar, her şeye rağmen başardı!Onlar, her şeye rağmen ezberi bozdu!Bazıları aramızda, bazılarının cesaret rüzgârı, yüzyıllardır kadınların kalbinde esiyor.“Dünyada, fırsat eşitliği olmadığını biliyorum. Dünyada, kadın ve çocuk hakları konusunda eksikler olduğunu biliyorum. Dünyada bilimde, sanatta, teknolojide kadınların hep arka plana itildiğini biliyorum. Ve Müsl",Deneme
Beyoğlu'nda bir Levanten Giovanni Scognamillo,"Elinizdeki bu kitap, Giovanni Scognamillo’nun sağlığında yazıldı. Bu sebeple bazı fotoğraf altlarında, kitabımı yazarken benim sorularıma verdiği cevaplar yer almaktadır, bu sizi şaşırtmasın.Ne yazık ki kitabı, onun sağlığında çıkaramadım.Sık sık sorardı, “Gülşah, kitabı ne yaptın?” diye.Merakla beklediği kitabın nihayet basıldığını görmesini çok ama çok isterdim.Bu fotoğraflar Giovanni Scognamillo’nun bebekliğinden başlıyor, çocukluğundaki Taksim’i, Beyoğlu’nu, eski sinemaları, Yeşilçam’ı, geçmiş dönemlerde yaşamış insanların hayatlarını ve hem de Türk Sineması’nın bugünlere geliş sürecinin b",Biyografi-Otobiyografi
O Yıllar,"“Trabzon’da geçirdiğimiz o günlerde babamı ben, limana bakan, Ortahisar’daki evlerinin sokağında bir çocuk, Ganita’da romantik bir delikanlı, Haluk Ongan Sahnesi’nde ilk sahne heyecanını yaşayan bir tiyatro sevdalısı, Uzun Sokak’ta, Ata Park kavşağında ilk yazılarını kaleme alan bir gazeteci namzeti olarak gördüm. Zanos Köprüsü, Boztepe, Aya Sofya Müzesi, Gülbahar Hatun Camii, Maraş Caddesi… Her adım, her kaldırım taşı, her lezzet, her koku, her ses onun için çok değerli anılar taşıyordu.”K. Dide SOMEL AKTAŞ",Anı
Medrese Hatıraları,"Edebiyatımızın önemli temsilcilerinden biridir Muallim Naci. Eserlerinde döneminin entelektüel birikimini başarıyla yansıtan yazar, özellikle Medrese Hatıraları’ında kendisinin dikkatini çeken konuları başarıyla göz önüne sermiş ve aydınlatıcı açıklamalarda bulunmuştur.Medrese Hatıraları modern dünyada unuttuğumuz bir çok konuya dikkat çekmekle kalmamış, aynı zamanda içi boşaltılmış kavramlara da yaklaşık yüz yirmi yıl öncesinden bir bakış denemesini içermektedir. Türk düşünce dünyasının gelişiminde önemli bir basamak olan Muallim Naci’in bu eseri, hayatı yeniden anlamamıza katkı sağlayacak ze",Anı
Yamalı Sevdam,"Eskiden bir tek sana baktığımda görebiliyordum kendimi. Şimdi kimi görsem intihara teşvik ediyor beni. Beni anladığını sandığım bir sen vardın oysa hayatımda. Sensin beni senden ayrı tutan.Gölgene hasret bırakan. Bak görüyor musun kelimelerimin her virgül aralığında ayrılık çıkıyor karşıma, yazmak istediğim her mısrada. Bir düşünce var ki Kemiriyor her gün beynimi. Sonra umarsızlığından taşıyor suretimin her bir parçası. Oysa ben senin gözlerinde şahadet getirdiğimdin. Neyse boş ver haydi defnet dudak çukurlarına nefsimin, kör ettiğin gözlerini...",Şiir
Üsküdar'da Bir Attar Dükkanı,"Üsküdar'daki bu Attar Dükkânı nice sohbetlerin, nice dostlukların, nice himmetlerin, nice hayırların, nice tefekküre şâyan ibretlerin, nice füyûzâtın, nice mânevî tohumların ve irşadların sebebi ve milveri olmuştu. Neyzen Niyâzi (Sayın) ağabey, bir gün bana, bu dükkânın rahmânî füyûzâtının sebep olduğu maddî ve mânevî müktesebâtını hamd ü şükranla ve cezbeyle yâd ederken: 'Yüksel'ciğim; biz bu dükkândan geçmemiş olsaydık şimdi yedi dükkân süprüntüsünden beter olurduk.' demiştir.",Anı
Tembel Yağmur,rüzgârın parmağını gördüm.hareketsizliğe dokundu.ne olduğununeden dokunduğunutuşun kendi parmağını seçtiğinibilmedendefalarca aynı tuşa dokundu.,Şiir
'68 Anılarım,"""Bizim kuşak 601ı yaşlara tırmanmaya başladı. Şimdi her şeyi daha sakin ve daha nesnel değerlendirmek mümkün...Biz 681iler, tarihin çok özel döneminde yaşamış bir kuşağın üyeleri olarak hep özel kaldığımızı düşündük. Dünyanın neresine gitsem, Türkiye'yi terk edip yadellerde yaşamak zorunda kalmış mücadele arkadaşlarıma rastlıyorum. Birçoğu ülkemizin demokrasi ve özgürlükler yolunda gelişmesine parlak beyinleri ve enerjileriyle katkıda bulunabilecekken, bir kıyıda sıkışıp kalmışlar.Türkiye'deki 68'lilerin çoğu hâlâ yaşamımızın önemli ve etkin bir parçası olmayı sürdürüyorlar. İsyan yıllarının h",Anı
